,minLC,maxLC,minNu,maxNu
mp-675926,-4.1721684087539606,326.9743657566474,0.00824643364232747,0.8307782321380892
mp-571011,38.78121708413365,97.58241922561419,-0.47111360229178606,1.2039201960760229
mp-985782,-1500.0,-1500.0,-1500.0,-1500.0
mp-999072,3.4602076124566894,3.4602076124567454,-2.1615575270457317,2.9642322990896597
mp-23791,-37.3140346837359,233.23446819282844,-0.3955541575265786,1.1825970729561126
mp-29502,9.523809523809522,318.0952380952381,-0.014142842707778302,0.570419612619111
mp-22991,24.0,35.2,0.044372987817229204,0.8468810012599476
mp-27409,18.95734597156398,19.747235387045816,0.044454411932695344,0.8812393998961577
mp-865015,1.6051364365970708,1.6051364365971543,-1.9461542183855935,2.793920659717642
mp-5347,4.582419000903575,8.777591325674456,0.00345914931256469,0.9708472280792437
mp-1818,71.42857142857139,71.42857142857146,-0.36363630940080205,0.9090909079899336
mp-984719,3.3444816053511683,3.3444816053511683,-1.4835085743274452,2.3013198031421225
mp-569017,-18.18181818181818,290.9090909090909,-0.10664824456791146,1.0000000000000004
mp-1025575,3.8461538461538445,496.1538461538462,0.007633587786259539,0.4661080053995009
mp-22876,53.571428571428555,98.21428571428571,0.045880870704413344,0.6350279637916538
mp-753195,13.888888888888884,236.11111111111111,0.01844987941609453,0.6679021643675059
mp-1027164,3.333333333333333,496.66666666666663,0.006622516556291388,0.4634276562923262
mp-567698,23.25581395348837,37.79069767441862,0.054174826329493546,0.8322141640556897
mp-9889,6.666666666666665,246.66666666666669,0.00884955752212389,0.6782649911315959
mvc-13239,-6.894239999682524,96.93886122989716,-0.27580963031293465,1.0229994412437275
mp-1186,5.617977528089885,247.19101123595505,0.007462686567164176,0.6868437989148083
mp-23292,23.56406480117821,173.78497790868923,-0.07789226427786897,0.7531598694347634
mp-9254,8.119925046845722,259.3992762738011,-0.5648720279480903,1.330983044119367
mp-569416,1.3774104683195594,333.3333333333333,0.0,0.6292353365260402
mp-19318,4.999999999999977,5.00000000000006,-0.5454544715556057,1.4999999999955107
mp-568592,3.327787021630615,331.11480865224627,0.004975124378109451,0.6052626957269975
mp-675271,-97.72838397734134,226.3154159829967,-0.36751687224006935,1.538762904121072
mp-753746,-20.833333333333357,562.5000000000001,-0.0982385313355754,1.3296898972113822
mp-614185,-43.4782608695652,260.86956521739114,-1.2879851462734748,2.3432751593384515
mp-766879,12.664318415263686,144.32138817193191,-0.19200400503080042,0.9600302133004778
mp-1572,6.35593220338983,194.9152542372881,0.020833333333333322,0.7315965940400458
mp-27849,1.3645965911327465,74.69854224344928,0.007418885454863803,0.8949461888172264
mp-30161,-1000.0,-1000.0,-1000.0,-1000.0
mp-720,8.771929824561402,201.7543859649123,-0.2714960149432417,1.0
mp-978798,10.242792109256378,13.277693474962067,-1.5131479482898131,2.254863767847792
mp-9996,2.6860483488702798,249.32848791278244,-0.5849528047240317,0.8314992156041079
mp-676518,3.6630036630036638,194.1391941391941,0.026872887316837474,0.7508197213094203
mp-973561,4.878048780487804,4.878048780487806,0.028825119536093916,0.9521296633739535
mp-977565,4.405286343612314,4.405286343612342,-0.8154470860076453,1.9549824649580063
mp-27638,-6.116207951070337,217.12538226299694,0.03844928502301001,1.1261425852230857
mp-27726,60.60606060606061,90.90909090909088,-0.23478745070444448,0.5511258023458339
mp-22556,7.575757575757576,7.575757575757578,0.0022087244978893734,0.9679734886826714
mp-776493,-1500.0,-1500.0,-1500.0,-1500.0
mp-634105,-1500.0,-1500.0,-1500.0,-1500.0
mp-976408,-83.33333333333343,270.8333333333335,-0.7978038900192269,2.2707274055411673
mp-573755,-23.684210526315688,113.15789473684215,-0.5841997978449582,1.3448275862068961
mp-866291,11.627906976744207,11.627906976744207,-0.4189188480704127,1.32432431968699
mp-556034,34.482758620689644,137.9310344827586,-0.036555877629426824,0.5425837632760006
mp-974810,8.695652173913047,8.695652173913103,-0.7184821804587299,1.7338630748930552
mp-504711,-0.06938662225922836,2.7754648903691406,-4.880953656711088,5.648957743635916
mp-23253,11.627906976744207,11.627906976744207,-0.0227269421525697,0.9545454537008455
mp-23192,47.169811320754704,150.94339622641508,-0.15199999914282233,0.7966101675902546
mp-500,5.434782608695652,333.3333333333333,0.0,0.5958170545202652
mp-20978,7.751937984496123,7.751937984496125,0.0019771219114429316,0.9675187114761024
mp-11342,6.2893081761006275,194.9685534591195,0.020618556701030917,0.7321819897765011
mp-25082,96.77419354838709,112.90322580645163,0.08510638330813779,0.34340777399325334
mp-27747,-31.513989106269264,263.7596701873005,-0.5154478532315885,1.33046437968089
mp-549720,5.967565116032251,245.05451133076883,-0.2030052120970413,0.8733922118119635
mp-135,24.39024390243899,24.390243902439046,-0.601941679676966,1.3883494990279848
mp-867250,3.8167938931297214,3.8167938931298333,-2.4250401922905533,3.1595197633273315
mp-24942,3.1922276197085284,5.41290770298404,-3.9711598809052386,4.714860672501981
mp-127,43.478260869565155,43.47826086956525,-0.4651162164980616,1.1395348821446358
mp-7581,3.717472118959107,330.85501858736063,0.005555555555555553,0.6144521559557186
mp-29057,13.698630136986301,342.46575342465746,-0.010204081632653064,0.555188798607633
mp-541753,27.77777777777776,27.777777777777793,-0.12903220626046352,0.8870967686195881
mp-580886,6.925207756232685,253.4626038781163,-0.016525050811533448,0.6895567868977357
mp-765967,20.186173238176256,135.3449498026869,-0.10267681090852375,0.8729858258874205
mp-33107,41.666666666666686,124.99999999999999,-0.46666659545738814,0.7333331677990841
mp-28174,14.830888521212525,167.89368743042374,-0.2641351732721295,0.7000483675699151
mp-1943,5.208333333333334,244.79166666666666,0.020408163265306114,0.6857636460812359
mp-2507,2.1834061135371177,246.72489082969432,0.025210084033613436,0.706960166935314
mp-22965,15.037593984962404,323.30827067669173,-0.3828643660534998,0.9114497692613118
mp-862815,4.081632653061218,4.081632653061273,-0.731064185568237,1.7620603748464216
mp-12910,5.812798092209857,36.09399841017488,-1.3842978496036333,1.8697444575981115
mp-620054,88.60759493670888,101.26582278481014,0.044542398341967666,0.6436608052852656
mp-22691,7.812499999999998,158.85416666666669,0.021200371777238887,0.7558452643131678
mp-606393,6.872852233676973,97.9381443298969,0.029197080291970795,0.797026261894393
mp-642855,-1500.0,-1500.0,-1500.0,-1500.0
mp-30651,5.24246395806022,9.82961992136304,-1.3373335330129388,2.029664073281169
mp-25587,-61.85946896927323,89.15542841706387,-3.43361021999441,4.86975930044805
mp-29750,21.27659574468085,39.00709219858157,0.03757494952468482,0.8505646068025773
mp-1441,16.24129930394432,20.417633410672945,-0.35058039576814204,1.183096298848595
mp-23219,-21.751574127074978,474.3270574934635,-0.7670637536590117,1.410887999677037
mp-757100,4.058853373921865,6.003720615592761,-1.0542833860832461,1.010658749946858
mp-1030827,4.926108374384236,330.04926108374383,0.007352941176470585,0.6062431884087166
mp-643265,52.63157894736839,52.63157894736845,0.06978272571764414,0.6523164313895449
mp-505319,21.61547212741752,61.433447098976124,0.2178843329800339,0.5241287452950346
mp-540793,2.1835140568867213,107.98094986981314,0.0015170350179833855,0.8575244506697058
mp-31038,-14.274460676396094,226.6055998578238,-0.30480726097304933,1.209036804992068
mp-1683,6.319732877270136,120.67757960745986,0.006041448285010157,0.8160517890100191
mp-694,3.656307129798901,195.6124314442413,-0.01933792717268345,0.7787097144434725
mp-3779,3.496503496503496,328.67132867132864,-0.01658567793910891,1.0015945938220019
mp-10033,2.5252525252525246,497.47474747474746,-0.005694255884498532,0.34693877546827645
mp-28230,6.863246198155558,68.87869121679934,-0.8025781136812713,1.4233125325897418
mp-556742,4.385964912280702,162.28070175438594,0.025641025641025626,0.7772508952191381
mp-766158,5.96529284164859,127.9826464208243,-0.4999999999999999,0.908050110884822
mp-28319,-30.750840121260687,288.94756118529426,-0.5497291028736316,1.3954670447325
mp-570081,15.624999999999996,250.0,0.0,0.6273645140850685
mp-568286,1.1232349165596918,167.0410783055199,-1.9438010131298236,2.3500855967512475
mp-540783,53.333333333333314,126.66666666666664,0.14285714293759938,0.4545454323739375
mp-765906,1.1015407051199535,70.86126703994148,-0.298985091421777,1.0096617790757192
mp-9920,3.1912493150096157,123.8032815068714,-0.34271291123239805,1.0140107426541425
mp-569152,-32.1011673151751,356.0311284046692,-0.4614833660436576,1.197512822993374
mp-1029336,-12.348957641747468,42.889390519187494,-2.4126942622418412,3.238095238095243
mp-1984,3.61271676300578,165.4624277456647,0.004329004329004327,0.7797997745005779
mp-560553,54.09582689335393,109.73724884080369,0.1386138615934913,0.5103224186483609
mp-571033,12.572533849129593,20.79303675048356,0.0074589102747072,0.9276421416586123
mp-23486,12.552301255230125,22.489539748953977,0.03245261831025167,0.901571267554238
mp-569289,32.60869565217388,54.34782608695653,-0.04827852031752771,0.7225433669470126
mp-557259,64.36233611442194,75.08939213349225,0.09232819265375686,0.4921948876068374
mp-20485,10.638297872340425,244.68085106382975,0.014084507042253515,0.6557555480438381
mp-557373,4.95049504950495,161.7161716171617,0.028846153846153834,0.7814508960149702
mp-2793,-17.85414324824465,355.0544524534724,-0.5313619616349815,1.438739904276517
mp-29481,22.72727272727268,22.727272727272734,-0.43589736814391666,1.256410255115386
mp-20066,71.42857142857142,71.42857142857144,0.18644071953857408,0.3050846744524501
mp-23053,1.1299435028248594,147.45762711864407,-0.31058501142672934,1.0540528953342534
mp-766154,45.04504504504507,63.06306306306307,0.11761917119111996,0.5461909758214842
mp-27725,-1500.0,-1500.0,-1500.0,-1500.0
mp-14815,2.1565036465501364,108.15028337975052,-0.7219534704939203,1.3752729925171163
mp-35035,8.966344635979034,30.750773505083032,-0.316255053732731,1.0668721472065703
mp-780260,2.3148148148148135,164.35185185185182,-0.008339454838747705,0.8085256737630813
mp-31220,7.886435331230284,164.0378548895899,0.009433962264150941,0.7576074140282092
mp-28460,23.391812865497073,81.2215724496426,-0.17209244833130985,0.7917320582444226
mp-558747,-12.03161216420498,151.90669030421478,-0.28224027046927636,1.236320379803427
mp-997042,-54.13223140495868,270.6611570247934,-0.12783268263335312,2.0048845160609985
mp-569679,3.703703703703702,244.44444444444443,0.030128603663456533,0.7058822057279209
mp-13682,-3.9769426694669114,255.8090173823674,-0.44218864934651814,1.4606741572822952
mp-615141,4.149377593360995,136.9294605809129,-0.6149208481462853,1.3589225938891762
mp-2275,71.42857142857142,71.42857142857146,0.10526315804184871,0.4736841732214182
mp-559976,1.8932222642938275,109.42824687618325,-1.5473485347764158,0.9069036693308171
mp-23052,2.8614795093184693,332.3795068302272,-1.0684964166686457,1.4006874746649456
mp-510421,1.6513328615239466,117.24463316820002,-0.24227722855493314,0.7959210541483429
mp-23297,10.475774770842428,81.18725447402882,-0.13880760316890967,0.8223761338857867
mp-9561,3.9893617021276575,196.80851063829786,-0.3363676964414072,0.8138451725033045
mp-21289,3.484320557491288,3.484320557491316,-1.822606973064427,2.5519380045269218
mp-20311,5.823627287853577,96.50582362728785,-0.015561012701615376,0.8555619003739682
mp-27181,19.866757376189007,71.78372810300938,0.03969543219724997,0.5335025376677189
mp-569066,55.55555555555552,55.5555555555556,-0.1940298049881819,0.7462686552446138
mp-27850,3.365945606319002,123.28336774077731,0.0037060006503473126,0.8329330976386903
mp-6959,5.0709939148073,139.95943204868155,-0.014655361175134439,0.8239826378553552
